key_resp.keys,key_resp.corr,key_resp.rt,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,pictures,answer,clock,segment,participant,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,item_a,item_b,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran,present,compare,noclock_present.thisRepN,noclock_present.thisTrialN,noclock_present.thisN,noclock_present.thisIndex,noclock_present.ran,noclock_compare.thisRepN,noclock_compare.thisTrialN,noclock_compare.thisN,noclock_compare.thisIndex,noclock_compare.ran,noclock_conditions.thisRepN,noclock_conditions.thisTrialN,noclock_conditions.thisN,noclock_conditions.thisIndex,noclock_conditions.ran
0.0,1.0,0.95053,0.0,0.0,0.0,0.0,1.0,mop_08s.jpg,0.0,clock_5_1.png,1.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.653945,0.0,1.0,1.0,1.0,1.0,inhaler_01b.jpg,0.0,clock_5_2.png,1.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.689545,0.0,2.0,2.0,2.0,1.0,racehorse_03s.jpg,0.0,clock_5_3.png,1.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,1.663335,0.0,3.0,3.0,3.0,1.0,inhaler_01b.jpg,1.0,clock_5_4.png,1.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,2.278275,0.0,4.0,4.0,4.0,1.0,inhaler_01b.jpg,1.0,clock_5_5.png,1.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,,0.0,5.0,5.0,5.0,1.0,crossbow_10s.jpg,0.0,clock_7_1.png,2.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,2.047795,0.0,6.0,6.0,6.0,1.0,quad_04s.jpg,0.0,clock_7_2.png,2.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,1.05503,0.0,7.0,7.0,7.0,1.0,mannequin_05s.jpg,0.0,clock_7_3.png,2.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.07837,0.0,8.0,8.0,8.0,1.0,crossbow_10s.jpg,1.0,clock_7_4.png,2.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,,0.0,9.0,9.0,9.0,1.0,squirt_gun_03s.jpg,0.0,clock_7_5.png,2.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,1.247185,0.0,10.0,10.0,10.0,1.0,squirt_gun_03s.jpg,1.0,clock_7_6.png,2.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,2.17425,0.0,11.0,11.0,11.0,1.0,coconut_08s.jpg,0.0,clock_7_7.png,2.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.8426,0.0,12.0,12.0,12.0,1.0,leash_10s.jpg,0.0,clock_6_1.png,3.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,1.23196,0.0,13.0,13.0,13.0,1.0,tattoo_14s.jpg,0.0,clock_6_2.png,3.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.57615,0.0,14.0,14.0,14.0,1.0,bowler_hat_10s.jpg,0.0,clock_6_3.png,3.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.544025,0.0,15.0,15.0,15.0,1.0,powder_07s.jpg,0.0,clock_6_4.png,3.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.76063,0.0,16.0,16.0,16.0,1.0,powder_07s.jpg,1.0,clock_6_5.png,3.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.875115,0.0,17.0,17.0,17.0,1.0,trident_07s.jpg,0.0,clock_6_6.png,3.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.47928,0.0,18.0,18.0,18.0,1.0,stingray_02s.jpg,0.0,clock_6_1.png,4.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.51742,0.0,19.0,19.0,19.0,1.0,target_11s.jpg,0.0,clock_6_2.png,4.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.6313,0.0,20.0,20.0,20.0,1.0,parachute_03s.jpg,0.0,clock_6_3.png,4.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.893715,0.0,21.0,21.0,21.0,1.0,orangutan_03s.jpg,0.0,clock_6_4.png,4.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.74691,0.0,22.0,22.0,22.0,1.0,fondue_07s.jpg,0.0,clock_6_5.png,4.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.761555,0.0,23.0,23.0,23.0,1.0,mask_09s.jpg,0.0,clock_6_6.png,4.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.566445,0.0,24.0,24.0,24.0,1.0,chopsticks_08s.jpg,0.0,clock_5_1.png,5.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.554545,0.0,25.0,25.0,25.0,1.0,dynamite_01b.jpg,0.0,clock_5_2.png,5.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.41061,0.0,26.0,26.0,26.0,1.0,quilt_03s.jpg,0.0,clock_5_3.png,5.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
