key_resp.keys,key_resp.corr,key_resp.rt,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,pictures,answer,clock,segment,participant,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,item_a,item_b,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran,present,compare
0.0,1.0,0.65648,0.0,0.0,0.0,0.0,1.0,mirror_12s.jpg,0.0,Blue.png,1.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.300385,0.0,1.0,1.0,1.0,1.0,polaroid_05s.jpg,0.0,Purple.png,1.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.766395,0.0,2.0,2.0,2.0,1.0,polaroid_05s.jpg,0.0,Red.png,1.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.87706,0.0,3.0,3.0,3.0,1.0,slingshot_07s.jpg,0.0,Orange.png,1.0,93,,,,,,,,,,,,,,,,,
1.0,1.0,0.49575,0.0,4.0,4.0,4.0,1.0,polaroid_05s.jpg,1.0,Yellow.png,1.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.827095,0.0,5.0,5.0,5.0,1.0,kettle_08s.jpg,0.0,Green.png,1.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.61903,0.0,6.0,6.0,6.0,1.0,crystal_ball_12s.jpg,0.0,Blue.png,2.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.59882,0.0,7.0,7.0,7.0,1.0,iron_13s.jpg,0.0,Purple.png,2.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.59016,0.0,8.0,8.0,8.0,1.0,saddle_06s.jpg,0.0,Red.png,2.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.753715,0.0,9.0,9.0,9.0,1.0,mango_09s.jpg,0.0,Orange.png,2.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.554685,0.0,10.0,10.0,10.0,1.0,ostrich_06s.jpg,0.0,Yellow.png,2.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,1.191445,0.0,11.0,11.0,11.0,1.0,iron_13s.jpg,0.0,Green.png,2.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.63117,0.0,12.0,12.0,12.0,1.0,stethoscope_01b.jpg,0.0,Blue.png,3.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.683745,0.0,13.0,13.0,13.0,1.0,ruby_15s.jpg,0.0,Purple.png,3.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,1.068285,0.0,14.0,14.0,14.0,1.0,mango_09s.jpg,0.0,Red.png,3.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.61417,0.0,15.0,15.0,15.0,1.0,target_11s.jpg,0.0,Orange.png,3.0,93,,,,,,,,,,,,,,,,,
1.0,1.0,0.54113,0.0,16.0,16.0,16.0,1.0,mango_09s.jpg,1.0,Yellow.png,3.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.700915,0.0,17.0,17.0,17.0,1.0,compass_10n.jpg,0.0,Green.png,3.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.75235,0.0,18.0,18.0,18.0,1.0,meatball_13s.jpg,0.0,Blue.png,4.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,1.2323,0.0,19.0,19.0,19.0,1.0,stapler_01b.jpg,0.0,Purple.png,4.0,93,,,,,,,,,,,,,,,,,
1.0,1.0,0.617915,0.0,20.0,20.0,20.0,1.0,meatball_13s.jpg,1.0,Red.png,4.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.83042,0.0,21.0,21.0,21.0,1.0,pump_11s.jpg,0.0,Orange.png,4.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.626625,0.0,22.0,22.0,22.0,1.0,coral_08s.jpg,0.0,Yellow.png,4.0,93,,,,,,,,,,,,,,,,,
1.0,0.0,0.983555,0.0,23.0,23.0,23.0,1.0,meatball_13s.jpg,0.0,Green.png,4.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.601655,0.0,24.0,24.0,24.0,1.0,peach_04s.jpg,0.0,Blue.png,5.0,93,,,,,,,,,,,,,,,,,
0.0,0.0,1.57886,0.0,25.0,25.0,25.0,1.0,meatball_13s.jpg,1.0,Purple.png,5.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,2.039555,0.0,26.0,26.0,26.0,1.0,pie_08s.jpg,0.0,Red.png,5.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.778915,0.0,27.0,27.0,27.0,1.0,rollerskate_03s.jpg,0.0,Orange.png,5.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.674525,0.0,28.0,28.0,28.0,1.0,trampoline_13s.jpg,0.0,Yellow.png,5.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.70726,0.0,29.0,29.0,29.0,1.0,undershirt_02s.jpg,0.0,Green.png,5.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.725705,0.0,30.0,30.0,30.0,1.0,thread_08s.jpg,0.0,Blue.png,6.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.49244,0.0,31.0,31.0,31.0,1.0,megaphone_03s.jpg,0.0,Purple.png,6.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.890295,0.0,32.0,32.0,32.0,1.0,plaster_cast_13s.jpg,0.0,Red.png,6.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.55718,0.0,33.0,33.0,33.0,1.0,diving_board_07s.jpg,0.0,Orange.png,6.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.56068,0.0,34.0,34.0,34.0,1.0,kayak_08s.jpg,0.0,Yellow.png,6.0,93,,,,,,,,,,,,,,,,,
1.0,1.0,1.006385,0.0,35.0,35.0,35.0,1.0,diving_board_07s.jpg,1.0,Green.png,6.0,93,,,,,,,,,,,,,,,,,
,,,,,,,,,1.0,,,93,1.0,1.0,2.111325,0.0,0.0,0.0,0.0,1.0,stapler_01b.jpg,coral_08s.jpg,,,,,,,
,,,,,,,,,1.0,,,93,1.0,1.0,1.574215,0.0,1.0,1.0,1.0,1.0,slingshot_07s.jpg,crystal_ball_12s.jpg,,,,,,,
,,,,,,,,,0.0,,,93,0.0,1.0,1.46563,0.0,2.0,2.0,2.0,1.0,saddle_06s.jpg,kettle_08s.jpg,,,,,,,
,,,,,,,,,1.0,,,93,0.0,0.0,1.402125,0.0,3.0,3.0,3.0,1.0,pie_08s.jpg,undershirt_02s.jpg,,,,,,,
,,,,,,,,,1.0,,,93,1.0,1.0,1.38914,0.0,4.0,4.0,4.0,1.0,stethoscope_01b.jpg,target_11s.jpg,,,,,,,
,,,,,,,,,1.0,,,93,1.0,1.0,1.129955,0.0,5.0,5.0,5.0,1.0,ostrich_06s.jpg,ruby_15s.jpg,,,,,,,
,,,,,,,,,,,,93,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,new2backpresent_1_4.xlsx,new2back_compare_task_1_4.xlsx
,0.0,,0.0,0.0,0.0,0.0,1.0,jetski_10s.jpg,0.0,Blue.png,1.0,93,,,,,,,,,,,,,,,,,
,0.0,,0.0,1.0,1.0,1.0,1.0,tripod_01b.jpg,0.0,Purple.png,1.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.540205,0.0,2.0,2.0,2.0,1.0,lab_coat_11s.jpg,0.0,Red.png,1.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.54077,0.0,3.0,3.0,3.0,1.0,foam_03s.jpg,0.0,Orange.png,1.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.564705,0.0,4.0,4.0,4.0,1.0,crate_05s.jpg,0.0,Yellow.png,1.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.563555,0.0,5.0,5.0,5.0,1.0,margarita_03s.jpg,0.0,Green.png,1.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.733815,0.0,6.0,6.0,6.0,1.0,joystick_01b.jpg,0.0,Blue.png,2.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.807345,0.0,7.0,7.0,7.0,1.0,giraffe_11s.jpg,0.0,Purple.png,2.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.540225,0.0,8.0,8.0,8.0,1.0,quilt_03s.jpg,0.0,Red.png,2.0,93,,,,,,,,,,,,,,,,,
1.0,1.0,1.02416,0.0,9.0,9.0,9.0,1.0,giraffe_11s.jpg,1.0,Orange.png,2.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.748195,0.0,10.0,10.0,10.0,1.0,pincushion_10s.jpg,0.0,Yellow.png,2.0,93,,,,,,,,,,,,,,,,,
1.0,1.0,2.2065,0.0,11.0,11.0,11.0,1.0,giraffe_11s.jpg,1.0,Green.png,2.0,93,,,,,,,,,,,,,,,,,
1.0,1.0,1.690085,0.0,12.0,12.0,12.0,1.0,pincushion_10s.jpg,1.0,Blue.png,3.0,93,,,,,,,,,,,,,,,,,
1.0,1.0,1.810525,0.0,13.0,13.0,13.0,1.0,giraffe_11s.jpg,1.0,Purple.png,3.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.646625,0.0,14.0,14.0,14.0,1.0,rolling_pin_02s.jpg,0.0,Red.png,3.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.57343,0.0,15.0,15.0,15.0,1.0,ticktacktoe_08s.jpg,0.0,Orange.png,3.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.89132,0.0,16.0,16.0,16.0,1.0,giraffe_11s.jpg,0.0,Yellow.png,3.0,93,,,,,,,,,,,,,,,,,
1.0,1.0,1.62867,0.0,17.0,17.0,17.0,1.0,ticktacktoe_08s.jpg,1.0,Green.png,3.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,1.243065,0.0,18.0,18.0,18.0,1.0,typewriter_11s.jpg,0.0,Blue.png,4.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.86988,0.0,19.0,19.0,19.0,1.0,toothpaste_12s.jpg,0.0,Purple.png,4.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,1.202845,0.0,20.0,20.0,20.0,1.0,hummingbird_05s.jpg,0.0,Red.png,4.0,93,,,,,,,,,,,,,,,,,
1.0,1.0,1.811345,0.0,21.0,21.0,21.0,1.0,toothpaste_12s.jpg,1.0,Orange.png,4.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,1.56792,0.0,22.0,22.0,22.0,1.0,toothpaste_12s.jpg,0.0,Yellow.png,4.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,1.107665,0.0,23.0,23.0,23.0,1.0,treadmill_06s.jpg,0.0,Green.png,4.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,1.87365,0.0,24.0,24.0,24.0,1.0,typewriter_11s.jpg,0.0,Blue.png,5.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.54637,0.0,25.0,25.0,25.0,1.0,penguin_16s.jpg,0.0,Purple.png,5.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,1.75105,0.0,26.0,26.0,26.0,1.0,olive_05s.jpg,0.0,Red.png,5.0,93,,,,,,,,,,,,,,,,,
0.0,0.0,0.92453,0.0,27.0,27.0,27.0,1.0,penguin_16s.jpg,1.0,Orange.png,5.0,93,,,,,,,,,,,,,,,,,
1.0,0.0,0.802385,0.0,28.0,28.0,28.0,1.0,penguin_16s.jpg,0.0,Yellow.png,5.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.964295,0.0,29.0,29.0,29.0,1.0,tab_09s.jpg,0.0,Green.png,5.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.73632,0.0,30.0,30.0,30.0,1.0,frame_06s.jpg,0.0,Blue.png,6.0,93,,,,,,,,,,,,,,,,,
0.0,1.0,0.82769,0.0,31.0,31.0,31.0,1.0,mop_08s.jpg,0.0,Purple.png,6.0,93,,,,,,,,,,,,,,,,,
