f_name,exclusion_criteria
../data/Exp 2b/data/cleaned/sub-127_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-63_task-2back.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-76_task-2back.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-57_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-115_task-2back.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-67_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-95_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-34_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-45_task-2back.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-62_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-59_task-2back.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-28_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-31_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-109_task-2back.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-30_task-2back.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-104_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-74_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-25_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-26_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-53_task-2back.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-70_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-118_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-110_task-2back.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-105_task-2back.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-23_task-2back.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-36_task-2back.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-68_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-99_task-background.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-40_task-2back.csv,present_accuracy < 90%
../data/Exp 2b/data/cleaned/sub-73_task-background.csv,present_accuracy < 90%
../data/Exp 2a/data/cleaned/sub-123_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-83_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-133_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-61_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-74_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-130_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-2_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-84_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-131_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-98_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-4_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-15_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-62_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-88_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-128_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-80_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-50_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-53_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-127_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-55_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-134_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-56_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-76_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-37_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-66_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-33_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-34_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-96_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-0_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-20_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-63_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-32_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-9_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-43_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-28_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-60_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-6_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-114_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-110_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-25_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-86_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-41_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-54_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-49_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-116_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-104_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-23_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-39_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-103_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-81_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-72_task-background.csv,2back_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-117_task-2back.csv,background_accuracy < 50%
../data/Exp 2a/data/cleaned/sub-31_task-2back.csv,background_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-0_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-41_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-124_task-2back.csv,background_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-3_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-128_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-14_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-82_task-2back.csv,background_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-122_task-2back.csv,background_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-19_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-51_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-121_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-87_task-2back.csv,background_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-123_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-54_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-127_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-63_task-2back.csv,background_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-76_task-2back.csv,background_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-57_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-115_task-2back.csv,background_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-67_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-95_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-65_task-background.csv,2back_accuracy < 50%
../data/Exp 2b/data/cleaned/sub-34_task-background.csv,2back_accuracy < 50%
