key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,key_resp_21.keys,key_resp_21.corr,key_resp_21.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,pictures,answer,clock,segment,participant,key_resp_22.keys,key_resp_22.corr,key_resp_22.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,item_a,item_b,key_resp_23.keys,key_resp_23.rt,key_resp.keys,key_resp.corr,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,key_resp.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran,present,compare
space,16.771,space,1.633,0.0,4.3678,0.0,2.6131,1.0,1.6899,0.0,0.9781,0.0,0.873,0.0,1.2415,0.0,1.1534,0.0,1.2688,1.0,1.2463,0.0,3.3807,0.0,2.1522,0.0,1.282,space,49.7307,1.0,2.8883,0.0,1.6038,space,1.907,0.0,1.0,2.0952,0.0,0.0,0.0,0.0,1.0,whipped_cream_02s.jpg,0.0,Blue.png,1.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.7139,0.0,1.0,1.0,1.0,1.0,sheep_02s.jpg,0.0,Purple.png,1.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.8137,0.0,2.0,2.0,2.0,1.0,sheep_02s.jpg,0.0,Red.png,1.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.8125,0.0,3.0,3.0,3.0,1.0,sequin_02s.jpg,0.0,Orange.png,1.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5518,0.0,4.0,4.0,4.0,1.0,sheep_02s.jpg,1.0,Yellow.png,1.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.6005,0.0,5.0,5.0,5.0,1.0,scoop_05s.jpg,0.0,Green.png,1.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.6719,0.0,6.0,6.0,6.0,1.0,wagon_12s.jpg,0.0,Blue.png,2.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.5954,0.0,7.0,7.0,7.0,1.0,scrabble_05s.jpg,0.0,Purple.png,2.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5721,0.0,8.0,8.0,8.0,1.0,wagon_12s.jpg,1.0,Red.png,2.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.9499,0.0,9.0,9.0,9.0,1.0,scrabble_05s.jpg,1.0,Orange.png,2.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
