subject,background_boundary_rt,background_nonboundary_rt,background_second_item_rt,nback_boundary_rt,nback_nonboundary_rt,nback_second_item_rt
sub-100,1.2752059999999998,1.228241767068273,1.1540859999999997,,,
sub-101,0.8521481481481484,0.7804296296296287,0.8351296296296299,,,
sub-102,,,,1.3231558333333335,1.1295150751879697,1.1459671698113207
sub-105,0.9975809259259263,1.0349845724907067,1.0266558333333333,,,
sub-106,1.2566037735849056,1.1873721804511275,1.141096153846154,,,
sub-107,,,,0.8659883333333334,0.7951411567164178,0.7632062962962963
sub-108,,,,1.0616917924528302,1.0181250373134323,1.0425808490566033
sub-109,,,,1.0490275925925925,0.9530910370370369,0.956756574074074
sub-10,1.2370771698113212,1.288469266917295,1.4344102884615384,,,
sub-111,1.230764537037037,1.0523378544776123,1.1293650925925927,,,
sub-112,1.055638425925926,0.9489432156133829,1.0283800925925926,,,
sub-113,,,,1.1212962962962965,0.9577977528089887,0.963425925925926
sub-115,,,,1.1646640384615388,1.0544175375939848,0.9480710377358491
sub-118,,,,0.972443490566038,0.9358377881040892,0.9709709259259257
sub-119,,,,0.9371912037037039,0.8188070446096649,0.8338196296296296
sub-11,1.0711792452830189,1.069730018867924,1.0219434259259261,,,
sub-120,,,,0.9143254629629631,0.8389962037037039,0.902042314814815
sub-121,,,,1.0708789814814816,0.9625906111111114,1.0109080555555554
sub-122,0.934264444444445,1.0189919038461532,0.954618653846154,,,
sub-124,,,,0.806666666666667,0.8730520446096657,0.8309433962264151
sub-125,0.8088518518518518,0.841748148148148,0.8074074074074076,,,
sub-126,,,,0.9983896296296295,0.9541936296296287,0.9525324074074073
sub-129,0.8922350925925925,0.9383926851851856,0.9910322222222221,,,
sub-12,,,,0.7449638679245286,0.7243644981412638,0.7082472222222221
sub-132,1.0347202830188678,1.0320086704119844,1.0799612037037036,,,
sub-135,,,,0.7717712264150944,0.8056045539033461,0.7868013207547169
sub-136,,,,0.802645462962963,0.8045000555555555,0.7862249074074074
sub-13,,,,0.8629900943396229,0.8581756481481478,0.9443846296296298
sub-14,,,,0.6563383333333334,0.6373342936802977,0.6908578703703704
sub-16,0.8686506481481482,0.8232204494382019,0.9019276415094338,,,
sub-17,,,,1.0344038461538463,0.9066466165413528,0.9461886792452829
sub-18,1.0614399999999997,0.9203729259259269,0.8955652777777777,,,
sub-19,1.1275713461538464,1.1000424903474904,1.1492287499999998,,,
sub-1,,,,0.8346161111111113,0.7672922947761198,0.7405694444444444
sub-21,,,,0.7013703703703705,0.6916333333333331,0.6939259259259258
sub-22,0.8843055555555551,0.993468888888889,0.9231759259259262,,,
sub-24,,,,1.1744259259259262,1.1524312267657995,1.1631481481481483
sub-26,,,,1.1931305555555554,1.2498089700374522,1.2929767592592594
sub-27,0.7880780188679247,0.7795172947761193,0.8077384259259262,,,
sub-30,,,,1.1893026851851853,1.0634456156716423,1.0020814150943398
sub-35,,,,0.7116909614807692,0.7216040112201499,0.6951202830566039
sub-38,,,,0.8502943518518519,0.7919134210526311,0.8485949074074073
sub-3,,,,1.2804392452830187,1.3356908461538477,1.2587428846153845
sub-40,0.6565068518518521,0.6875357777777783,0.6818021296296296,,,
sub-42,,,,0.9305909433962264,0.8669404629629632,0.8752513888888888
sub-44,1.0615874074074074,0.9199978996282524,0.9625219444444446,,,
sub-45,1.2468627450980392,1.0353886792452833,1.0652830188679245,,,
sub-47,1.2278896226415097,1.107794831460675,1.1786154716981134,,,
sub-48,,,,0.7646151851851853,0.6644724629629629,0.6542280555555556
sub-51,,,,1.1243676851851854,1.1507806928838955,1.1775797222222222
sub-52,1.1160975925925924,1.1553015298507456,1.1933130188679248,,,
sub-57,,,,1.2310703703703705,1.178353828996283,1.2418145370370368
sub-58,,,,0.9710852830188682,0.891129197761194,0.9137977358490568
sub-59,,,,0.7256387962962962,0.6831399444444447,0.7206485185185187
sub-5,,,,1.273074074074074,1.1985074626865682,1.1670576923076923
sub-64,,,,0.9066975471698113,0.8316012825278808,0.8433925471698114
sub-65,1.1067731481481478,1.1233813148148155,1.0315633333333332,,,
sub-67,1.8222548113207548,1.6812488661710034,1.7021105660377363,,,
sub-69,,,,0.9977041509433963,0.9136239259259261,0.9306342592592591
sub-71,,,,1.234985555555556,1.1895474814814817,1.1912480555555556
sub-73,,,,1.00557375,0.9713627238805967,0.9949100000000005
sub-75,,,,0.8005370370370372,0.7599370370370369,0.7486481481481478
sub-77,0.7599811320754715,0.736548148148149,0.6757592592592594,,,
sub-78,,,,0.9791517924528302,0.8912202788104093,0.8904810185185186
sub-79,,,,1.4888076923076927,1.3976792452830193,1.3887037037037038
sub-82,,,,1.2897926851851846,1.326698049242424,1.38346
sub-85,,,,1.0957462037037038,1.101457574074074,1.027309722222222
sub-87,,,,1.04234037037037,0.9041783333333339,0.8672580188679244
sub-89,0.9197356603773584,0.8188730855018583,0.8844399074074076,,,
sub-90,,,,0.7782275961538461,0.7561138847583647,0.7783988888888888
sub-91,0.8176395370370373,0.7782120185185185,0.7687969444444441,,,
sub-92,,,,0.902111111111111,0.9389516728624531,0.9467962962962962
sub-94,1.0178518518518518,1.0851753731343283,1.051555555555556,,,
sub-97,,,,0.8701575925925925,0.7856795724907061,0.771847962962963
