,subject,background_within,background_between,nback_within,nback_between,background_within_RT,background_between_RT,nback_within_RT,nback_between_RT
0,sub-100,,,0.5185185185185185,0.4444444444444444,,,1.119057142857143,1.0249000000000004
1,sub-101,,,0.5555555555555556,0.6666666666666666,,,2.00996,1.4669111111111108
2,sub-102,0.7037037037037037,0.7407407407407407,,,1.4558263157894735,1.487975,,
3,sub-106,,,0.4444444444444444,0.7407407407407407,,,1.1987666666666665,1.336485
4,sub-107,,,0.5925925925925926,0.48148148148148145,,,1.5228625,1.6710000000000003
5,sub-108,0.5555555555555556,0.4074074074074074,,,1.3156666666666668,1.5215636363636362,,
6,sub-10,0.7777777777777778,0.25925925925925924,,,1.2825809523809524,1.4056428571428572,,
7,sub-111,0.5925925925925926,0.5185185185185185,,,1.660225,2.5900285714285713,,
8,sub-112,,,0.7037037037037037,0.4444444444444444,,,1.5950263157894737,1.7115000000000002
9,sub-113,0.6666666666666666,0.5555555555555556,,,2.17495,2.0068266666666665,,
10,sub-114,0.7037037037037037,0.6296296296296297,,,1.7704736842105264,2.0282941176470586,,
11,sub-116,0.7777777777777778,0.5555555555555556,,,1.7469238095238095,2.0745400000000003,,
12,sub-117,,,0.6296296296296297,0.5925925925925926,,,2.062470588235294,2.3755625
13,sub-11,0.5925925925925926,0.7037037037037037,,,1.4227875,1.4119684210526313,,
14,sub-125,0.7407407407407407,0.6296296296296297,,,1.7279499999999999,2.027470588235294,,
15,sub-126,,,0.7407407407407407,0.7037037037037037,,,1.63265,2.084052631578947
16,sub-129,0.8148148148148148,0.4444444444444444,,,1.5976636363636365,1.5872166666666672,,
17,sub-12,,,0.6296296296296297,0.4074074074074074,,,1.1622000000000001,0.9573818181818182
18,sub-130,,,0.6666666666666666,0.7407407407407407,,,1.6928333332777779,1.6016350001
19,sub-131,0.4074074074074074,0.5925925925925926,,,1.1710363636363637,1.3813312499999997,,
20,sub-13,,,0.7407407407407407,0.7037037037037037,,,1.089435,1.1585052631578945
21,sub-15,,,0.6666666666666666,0.7037037037037037,,,1.7329999999999999,2.026947368421052
22,sub-16,,,0.6666666666666666,0.7777777777777778,,,1.2119888888888888,1.308633333333333
23,sub-17,0.7407407407407407,0.6296296296296297,,,1.58132,1.6631235293529414,,
24,sub-18,0.5925925925925926,0.4074074074074074,,,1.5119937499999998,1.874390909090909,,
25,sub-1,,,0.6666666666666666,0.7407407407407407,,,1.9905777777777776,1.7561750000000003
26,sub-20,0.6666666666666666,0.4444444444444444,,,1.0488333333333335,0.9714999999999999,,
27,sub-22,0.5185185185185185,0.6296296296296297,,,1.93385,1.9696235294117648,,
28,sub-24,0.6296296296296297,0.5185185185185185,,,2.215323529470588,2.218814286285714,,
29,sub-27,,,0.6296296296296297,0.4444444444444444,,,1.4930882352941173,1.6575833333333334
30,sub-29,0.6666666666666666,0.6296296296296297,,,1.44615,1.530994117647059,,
31,sub-2,0.5185185185185185,0.6296296296296297,,,1.3372499997857143,1.4324999997058825,,
32,sub-32,,,0.3333333333333333,0.7407407407407407,,,1.3704111111111112,1.7864499999999999
33,sub-33,,,0.48148148148148145,0.48148148148148145,,,1.1558461538461537,1.1668461538461539
34,sub-35,0.8888888888888888,0.4444444444444444,,,2.0029083333333335,2.7086666666666672,,
