,subject,noclock_within,noclock_between,clock_within,clock_between,noclock_within_RT,noclock_between_RT,clock_within_RT,clock_between_RT
0,sub-0,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,1.8532768750000002,2.396339583333334,1.8485737500000001,2.0873325
1,sub-10,0.7222222222222222,0.5555555555555556,0.5555555555555556,0.6111111111111112,1.1670311538461537,1.32957,1.1099145,1.1982459090909092
2,sub-11,0.5,0.4444444444444444,0.5,0.5555555555555556,2.6293572222222226,2.1775675000000003,8.689175555555556,7.738124000000001
3,sub-12,0.7777777777777778,0.8333333333333334,0.4444444444444444,0.5555555555555556,2.637583928571428,2.452169666666666,2.0953775,2.44358
4,sub-13,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.7777777777777778,1.4106210000000001,1.3804283333333334,1.8249799999999998,2.0617896428571423
5,sub-14,0.6111111111111112,0.5555555555555556,0.7222222222222222,0.8333333333333334,2.7743013636363636,3.8035459999999994,2.82753576923077,3.4502929999999994
6,sub-15,0.7222222222222222,0.6666666666666666,0.4444444444444444,0.5,1.3168773076923077,1.5285054166666665,0.9194,1.2480211111111112
7,sub-16,0.6111111111111112,0.3333333333333333,0.5555555555555556,0.5555555555555556,1.436636363636364,2.129166666666667,1.4545,2.1703
8,sub-18,0.9444444444444444,0.3333333333333333,0.8333333333333334,0.4444444444444444,2.4107764705882353,2.8989333333333334,3.3143799999999994,4.228875
9,sub-19,0.5555555555555556,0.5555555555555556,0.7777777777777778,0.6666666666666666,1.841852,1.7891015000000003,1.4330185714285715,2.262113333333333
10,sub-1,0.5,0.5555555555555556,0.5555555555555556,0.6111111111111112,1.235951111111111,1.593309,1.8841,1.970742272727273
11,sub-20,0.5,0.7777777777777778,0.4444444444444444,0.4444444444444444,0.9100577777777779,1.5034746428571428,1.4205943749999999,1.213089375
12,sub-21,0.4444444444444444,0.6666666666666666,0.3888888888888889,0.6666666666666666,1.4138206249999998,1.871441666666667,1.4931564285714285,1.7155216666666666
13,sub-23,0.5,0.7222222222222222,0.7222222222222222,0.5,2.128888888888889,1.5642307692307693,1.7213076923076922,2.661666666666667
14,sub-24,0.6666666666666666,0.7222222222222222,0.5,0.6111111111111112,2.0348029166666666,2.472506153846154,1.7888766666666664,3.4302977272727273
15,sub-25,0.4444444444444444,0.5,0.7222222222222222,0.6111111111111112,1.777309375,1.6609216666666666,2.2002661538461536,2.5437172727272728
16,sub-26,0.4444444444444444,0.5555555555555556,0.7222222222222222,0.5555555555555556,1.251568125,1.3376579999999998,1.2683173076923078,1.47676
17,sub-27,0.3888888888888889,0.4444444444444444,0.5,0.5555555555555556,1.70204,1.653275625,1.0554777777777777,1.0352675000000002
18,sub-28,0.5,0.4444444444444444,0.5,0.5555555555555556,1.5226666666666664,1.94675,1.66,3.1184
19,sub-29,0.6666666666666666,0.6111111111111112,0.7777777777777778,0.6666666666666666,1.5427683333333333,1.744194090909091,1.6117732142857144,1.7153829166666668
20,sub-2,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.5,1.2572925,1.6412,1.4976091666666662,1.6730155555555555
21,sub-31,0.5,0.6111111111111112,0.4444444444444444,0.3333333333333333,1.7457777777777777,2.875454545454545,1.4337499999999999,1.8783333333333332
22,sub-32,0.5555555555555556,0.6111111111111112,0.7777777777777778,0.3888888888888889,2.01,1.6945454545454544,1.3650000000000002,1.375
23,sub-33,0.7777777777777778,0.5,0.6111111111111112,0.5,2.2635835714285713,2.9678844444444445,2.1159504545454544,2.5298383333333327
24,sub-34,0.8888888888888888,0.6666666666666666,0.4444444444444444,0.7222222222222222,1.9098559375000004,1.9587658333333335,1.456731875,1.4524803846153846
25,sub-35,0.5,0.5,0.4444444444444444,0.6666666666666666,1.6084444444444446,1.7347672222222223,1.5035937499999998,1.8014575
