subject,unpredictable_boundary_rt,unpredictable_nonboundary_rt,unpredictable_second_item_rt,predictable_boundary_rt,predictable_nonboundary_rt,predictable_second_item_rt
sub-23,0.7795277777777778,0.7493184357541899,0.757138888888889,0.7590571428571427,0.7358197969543142,0.7642571428571429
sub-24,1.2886144285714285,1.3310562429378523,1.3510198611111113,1.0510998484848484,1.2009846005154643,1.0825722058823533
sub-25,0.6725701388888887,0.6679333426966294,0.5799105555555557,0.7945630555555556,0.6918102685421994,0.6935084285714286
sub-26,2.357154861111111,2.371963861111111,2.380177638888889,2.3879104166666676,2.373671035353534,2.377206388888889
sub-27,0.9573568055555557,0.8906816011235955,0.8507350000000001,1.144540416666667,1.0056686700767266,1.116451857142857
sub-28,0.8045294117647058,0.8567931034482765,0.9607575757575758,0.9684571428571429,0.8735286458333333,0.9847142857142857
sub-29,0.958708888888889,0.8851233055555555,0.9445045833333333,1.0250065277777776,0.8941831818181813,0.9091116666666667
sub-2,0.8576227777777778,0.7828101666666666,0.8151369444444444,0.9467038679245284,0.9004191644562338,0.9706918518518518
sub-31,0.9570285714285715,0.8845674157303371,0.8330285714285713,0.9184722222222221,0.8946803069053716,0.8665833333333335
sub-32,1.0242777777777776,0.8424804469273743,0.9797999999999998,0.9071666666666665,0.8642081218274115,0.915742857142857
sub-33,1.1928806944444443,0.9700855617977528,0.9325501470588236,0.9018354166666666,1.0304718274111677,0.9744758333333334
sub-34,0.9808041666666667,0.9555140782122911,0.9188280555555557,0.9820650000000001,0.8910629283887473,0.7817027142857144
sub-35,0.74829375,0.7922690277777772,0.7256898611111111,0.7731256944444441,0.7766043181818183,0.7298519444444446
sub-36,0.8164166666666667,0.7964888888888886,0.7426666666666666,0.9311944444444448,0.8138636363636362,0.856722222222222
sub-37,1.1380493055555556,0.9591163055555552,0.9449077777777775,0.9219284722222224,0.954053068181818,0.9274001388888888
sub-38,0.7499823611111112,0.7750241061452513,0.7867804285714287,0.8100168055555553,0.7713761139240498,0.8521893055555554
sub-39,1.0304572222222224,1.0657295689655175,1.053721029411765,1.158666857142857,1.0731100773195887,1.1066745714285715
sub-3,1.0098005555555558,1.0298202777777778,1.0068794444444444,0.9620213888888887,1.0036071969696965,0.9967376388888892
sub-40,0.9569563888888888,0.9694375561797757,0.9936154166666665,1.0987862500000003,0.985165309278351,1.0417364285714283
sub-41,0.9496574999999999,0.9003248314606742,0.8756640277777779,0.8597577142857143,0.8777795685279186,0.8711098611111111
sub-42,1.0419601470588238,0.8781393539325841,0.8963298611111112,0.9877037142857142,0.9030631632653057,0.99706125
sub-43,1.192469027777778,0.9890792777777777,0.9622074999999999,0.9798266666666667,1.0136944147582696,0.9217655555555555
sub-44,0.8324999999999999,0.7816122448979597,0.8482413793103448,0.9439487179487179,0.9077399463806977,0.9155714285714287
sub-45,2.101804782608695,2.1284526050420176,2.1283028260869568,2.1179109302325587,2.107196884816755,2.091088958333333
sub-46,1.0389033333333335,1.0184112994350285,1.0406295714285712,1.3562322222222223,1.1330027551020407,1.2746054166666665
sub-47,1.4083333333333332,1.1271333333333333,1.1447500000000002,1.0121694915254236,0.9887708894878711,0.8525254237288136
sub-48,1.3384104166666666,1.0707419999999996,1.1441775000000003,1.1496712500000001,1.0975199742268038,1.1305526470588239
sub-49,1.0134163043478261,0.9655517647058822,1.1079260416666665,0.8770365625,0.9303822368421056,0.9036946875000001
sub-4,1.0177165000000001,0.907366476510067,0.877835,0.907287142857143,0.9386153598971729,0.9143088095238096
sub-50,1.0942381944444444,1.0523718333333332,1.1195394444444444,1.0157831944444444,1.0085741540404036,0.8831584722222222
sub-51,1.0295033333333334,0.93552275,0.9071906944444442,0.9336634722222222,0.9096369444444441,0.9032048611111113
sub-52,0.8666349999999998,0.8775505555555553,0.8662175000000001,0.8042334285714287,0.8673987594936708,0.820996111111111
sub-55,0.9886994444444446,0.9319016666666664,1.0208116666666667,0.9119974528301886,0.8750394708994705,0.8128054629629626
